mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.9879519939422607,0.3479130875062679,1.1482006708780925,0.37602831879699594,,2,200,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5567397085182559,0.5512250496400813,0.5625359543907508,0.5568335708496961,0.004618134484300385,10
4.276976108551025,0.042662365082438224,0.8533427715301514,0.1281713993462034,,2,300,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.5596319937100858,0.5518492488479302,0.5628664423596766,0.5581158949725641,0.004623747019842452,7
3.733964761098226,0.6000399335683714,0.9277228514353434,0.36626317130832853,,5,200,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5562947484011407,0.5513072697308905,0.5735547063419875,0.5603855748246729,0.009531990158121801,4
4.5082056522369385,0.5485865429228369,1.1922731399536133,0.26177315130347645,,5,300,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.5521000793415651,0.5460582191687705,0.5636621240661966,0.5539401408588441,0.007303594398191172,12
3.3783764044443765,0.13270380320361116,1.0401677290598552,0.10055875497752417,10,2,200,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5729129465077337,0.5544249661536789,0.5558779627960521,0.5610719584858215,0.00839382899563672,3
4.210753043492635,0.17627167053853973,0.983908494313558,0.10550429870738576,10,2,300,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.5637208252217075,0.5499710268064555,0.556528658571121,0.5567401701997613,0.005615323795460918,11
2.8258937199910483,0.13006603526061497,0.82464067141215,0.0324195327960808,10,5,200,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5551549991749593,0.5549596430564814,0.5790093638841018,0.5630413353718475,0.01129138290701904,1
5.098275979359944,0.954119266377633,0.950993537902832,0.15838966084411835,10,5,300,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.5505939482213549,0.5534824991436293,0.5716046977496284,0.5585603817048709,0.009298801622226462,6
4.85645588239034,0.29612724963211623,1.0268560250600178,0.23973708015203485,20,2,200,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5553707997550209,0.5441907387859143,0.5743557213695141,0.5579724199701498,0.012451448761089206,8
7.748347123463948,0.35106670588234284,1.3229074478149414,0.32920855692371553,20,2,300,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.566572751301001,0.5503119910969612,0.5687589900149082,0.5618812441376234,0.008229241433963877,2
5.4610114097595215,0.24508261089093428,0.67774764696757,0.2055132431523553,20,5,200,"{'model__max_depth': 20, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5587873699826809,0.5515460737548696,0.5671512273468126,0.559161557028121,0.006376269369872622,5
5.734907309214274,1.2373679673344147,0.3257105350494385,0.10295166565143542,20,5,300,"{'model__max_depth': 20, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.5608236040999774,0.5464498430515474,0.5648084626697928,0.5573606366071059,0.007884746305974584,9
